"khtl;lk ;","","","","FLk;gq;f","","egHfs;","","Injured","Missin","","","","","","","","","FLk;gq;","egHfs;",""
"4
kl;lf;fsg;G","Eravur pattu","Lightning","20181.10.02","","1","4","","","","","","1","","","","","","","",""
"Eastern","","","","","","","","","","","","","","","","","","","",""
"Batticaloa","","","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","1","4","0","0","","0","0","1","","0","0","","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","313","1207","0","0","","0","0","1","","0","0","","0","0","0",""
"","","","","","","","","","","","","","","","","","","","","Safe Loocation - Ma Ussa"
"","","","2018.08.13 /","","","","","","","","","","","","","","","","",""
"","","Landslide","","","18","80","","","","","","","","","","","1","16","64","Ella pahala kotasa"
"","Nuwara Eliya","","2018.09.26","","","","","","","","","","","","","","","","",""
"","","Warnning","","","","","","","","","","","","","","","","","","Community Hall"
"","","","2018.10.09","","31","134","","1","","","","10","","","","","","","",""
"නුවරඑලිය","","","","","","","","","","","","","","","","","","","",""
"","","Tree Fallen","2018.10.03","","2","9","","","","","","2","","","","","","","",""
"5
Etnuypah","Kothmale","","","","","","","","","","","","","","","","","","",""
"","","Cutting failure","2018.10.09","","1","6","","","","","","1","","","","","","","",""
"Nuwara Eliya","","","","","","","","","","","","","","","","","","","",""
"","Walapane","Anicut collapse","2018.10.09","","3","11","","","","","","3","","","","","","","",""
"","Haguranketha","Heavy Rain","2018.10.10","","2","4","","","","","","1","","","","","","","",""
"","Ambagamuwa","Land slide","2018.10.15","","8","36","","","","","5","","","","","","1","2","","15 Marketing Development"
"","","","","","","","","","","","","","","","","","","","","Building - Nilwaligama"
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","65","280","0","1","","0","5","17","","0","0","","2","18","79",""
"","Kundasale","Cutting failure","2018.10.07","","2","10","","","","","","2","","","","","","","",""
"","Ududumbara","Cutting failure","2018.10.07","","1","4","","","","","","1","","","","","","","",""
"","Pujapitiya","High Wind","2018.10.06","","6","23","","","","","","6","","","","","","","",""
"","Yatinuwara","Heavy Rain and","","","92","346","","","","","2","88","","","","","","","",""
"","","","2018.10.05","","","","","","","","","","","","","","","","",""
"","Udunuwara","High wind","","","77","291","","3","","","","74","","","","","","","",""
"","Pathadumbara","Cutting failure","2018.10.06","","25","117","","4","","","1","16","","","","","","","",""
"මධ්‍යම","","","","","","","","","","","","","","","","","","","",""
"","","Heavy rain & wind","2018.10.04","","1","4","","","","","","1","","","","","","","",""
"පලාත/kj;jpa
නුවර","Medadumbara","","","","","","","","","","","","","","","","","","",""
"","","Cutting failure","2018.10.05","","2","9","","","","","","2","","","","","","","",""
"khfhzk;/ 
6
fz;b","","","","","","","","","","","","","","","","","","","",""
"Central","Gangaihala Korale","Cutting failure","2018.10.05","","5","19","","","","","","5","","","","","","","",""
"Kandy","","","","","","","","","","","","","","","","","","","",""
"","","Heavy","","","","","","","","","","","","","","","","","",""
"","Udapalatha","Rain/Cutting","2018.10.07","","17","55","","","","","","8","","","","","","","",""
"","","Failure/flood","","","","","","","","","","","","","","","","","",""
