"Yatiyantota","Lightnng","2022.11.07","1
2","","","","","","","1","","","",""
"","Heavy Rain","2022.11.07","1
3","","","","","","","1","","","",""
"","Lightning","2022.11.04","1
4","","","","","","","1","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","",""
"","Heavy Rain","2022.11.07","1
3","","","","","","","1","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"","Cutting Faliure","2022.11.07","1
4","","","","","","","1","","","",""
"Sabaragamuwa
Warakapola","","","","","","","","","","","","","",""
"","Heavy rain","2022.11.13","2
4","","","","","","","2","","","",""
"","Cutting Faliure","2022.11.14","1
5","","","","","","","1","","","",""
"","Tree Fallen","2022.11.14","1
3","","","","","","","1","","","",""
"","Cutting Faliure","2022.11.14","1
1","","","","","","","1","","","",""
"","Lightning","2022.11.05","4
19","","","","","","","4","","","",""
"","Rock Fallen","2022.11.05","1
3","","","","","","","1","","","",""
"Ruwanwella","","","","","","","","","","","","","",""
"","Tree Fallen","2022.11.06","2
8","","","","","","","2","","","",""
"","Tree Fallen","2022.11.12","2
3","","","","","","","2","","","",""
"","Lightning","2022.11.05","1
4","","","","","","","1","","","",""
"Deraniyagala","","","","","","","","","","","","","",""
"කෑගල්ල","Tree Fallen","2022.11.14","2
8","","","","","","","2","","","",""
"2","","","","","","","","","","","","","",""
"Nffhiy    Kegalle
Aranayake","Lanslide Risk","2022.11.03","2
10","","","","","","","","","","",""
"","Heavy Rain","2022.11.07","1
2","","","","","","","1","","","",""
"Dehiowita","Tree Fallen","2022.11.11","1
5","","","","","","","1","","","",""
"","Fire","2022.11.14","1
2","","","","","","","1","","","",""
"","Collapses of wall","2022.11.05","1
1","","","","","","","1","","","",""
"Kegalle","","2022.11.04","1
3","","","","","","","1","","","",""
"","Tree Fallen","","","","","","","","","","","","",""
"","","2022.11.15","1
2","","","","","","","1","","","",""
"","Lightning","2022.11.04","7
25","","","","","","","7","","","",""
"","Rock Fallen","2022.11.05","1
6","","","","","","","1","","","",""
"","","2022.11.06","2
10","","","","","","","2","","","",""
"Mawanella","Heavy Rain","","","","","","","","","","","","",""
"","","2022.11.07","2
6","","","","","","","2","","","",""
"","Tree Fallen","2022.11.13","2
11","","","","","","","2","","","",""
"","Lightning","2022.11.13","14
60","","","","","","","3","","","",""
"","Lightning","2022.11.07","13
61","","","","2","","","3","","","",""
"Rambukkana","","","","","","","","","","","","","",""
"","Cutting Faliure","2022.11.04","3
19","","","","","","","3","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","74
297","","0","","2","","0","0
51","0","0","0
0","0"
