"","","","","","","Water","Water","","","24 Hr RF"
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.01","0.01","Normal","","0.0"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","Manampitiya","m","3.00","4.30","6.00","0.01","0.00","Normal","","0.0"
"Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-2.18","-2.18","Normal","","0.0"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","1.72","1.70","Normal","","0.0"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","1.55","1.54","Normal","","2.0"
"Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.16","0.16","Normal","","0.0"
"Yan Oya","","","","","","","","","",""
"Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.27","1.27","Normal","","0.0"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.40","0.40","Normal","","0.0"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","Thanthirimale","m","5.00","6.80","0.42","0.35","0.35","Normal","","0.0"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.30","0.30","Normal","","0.0"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","-0.02","-0.02","Normal","","0.0"
"(RB 99)","","","","","","","","","",""
"Maha Oya","Badalgama","m","5.00","6.20","9.60","2.20","2.19","Normal","","0.7"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","Giriulla","m","5.50","6.50","7.50","1.08","1.07","Normal","","0.0"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","0.80","0.80","Normal","","1.2"
"(RB 103)","","","","","","","","","",""
"Prepared by : 
H.P.S.W.Gunawardhana (H.A)","","","","","","","","","",""
"Checked by :","","","","","","","","","",""
