"","","Puthukkudiyiruppu","","","13","29","","","","1","1","","","","","","",""
"","මුලතිව්","Oddusuddan","","","43","143","","","","","","","","","","","",""
"4","Ky;iyj;jPT","","(Burevi) Cyclone","2020.12.02","","","","","","","","","","","","","",""
"","Mulaitivu","Thunukkai","","","212","562","","","","","","","","","","","",""
"","","Manthai East","","","218","715","","","","","","","","","","","",""
"","","Welioya","","","34","97","","","","","4","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","703","2151","0","0","0","1","40","3","","0","","0","0","0"
"","","Vavuniya","","2020.12.02","15","63","","","","","15","","","","","","",""
"","වව්ියාව","Vavuniya North","","2020.12.03","84","255","","","","","4","3","","","","","",""
"5","tTdpah","","(Burevi) Cyclone","","","","","","","","","","","","","","",""
"","Vavuniya","Vavuniya South","","2020.12.02","3","10","","","","","3","","","","","","",""
"","","Vengala Cheddikulam","","2020.12.03","35","96","","","","","35","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","137","424","0","0","0","0","57","3","","0","","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","27613","91022","2","6","0","98","3414","773","","32","","30","576","1938"
